Script directory: /home/tihan6g/O-RAN-Testbed-Automation/OpenAirInterface_Testbed/Next_Generation_Node_B/configs/gnb.conf
[UTIL]   running in SA mode (no --phy-test, --do-ra, --nsa option present)
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 216/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 101984/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           4965 RX       40865652 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 218/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 102624/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5007 RX       41124980 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 219/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 103264/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5028 RX       41384308 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 220/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 103904/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5049 RX       41643636 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 222/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 104544/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5091 RX       41902964 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 223/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 105184/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5112 RX       42162292 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 224/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 105824/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5133 RX       42421620 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 225/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 106464/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5154 RX       42680948 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 227/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 107104/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5196 RX       42940276 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 228/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 107744/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5217 RX       43199604 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 229/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 108384/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5238 RX       43458932 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 231/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 109024/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5280 RX       43718260 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 232/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 109664/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5301 RX       43977588 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 233/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 110304/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5322 RX       44236916 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 234/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 110944/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5343 RX       44496244 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 236/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 111584/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5385 RX       44755572 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 237/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 112224/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5406 RX       45014900 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 238/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 112864/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5427 RX       45274228 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 239/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 113504/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5448 RX       45533556 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 241/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 114144/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5490 RX       45792884 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 242/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 114784/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5511 RX       46052212 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 243/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 115424/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5532 RX       46311540 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 245/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 116064/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5574 RX       46570868 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 246/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 116704/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5595 RX       46830196 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 247/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 117344/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5616 RX       47089524 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 248/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 117984/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5637 RX       47348852 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 250/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 118624/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5679 RX       47608180 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 251/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 119264/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5700 RX       47867508 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 252/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 119904/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5721 RX       48126836 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 254/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 120544/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5763 RX       48386164 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 255/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 121184/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5784 RX       48645492 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 256/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 121824/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5805 RX       48904820 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 257/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 122464/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5826 RX       49164148 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 259/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 123104/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           5868 RX       49423476 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
